                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4937,                 1.8154,                0.96678,                0.04247,                0.57267,                 0.3013,                0.17572,                 1.3384,                  2.332,                0.93339,             0.00046889,             0.00046889,             0.00046889
                      2,                 1.3747,                 1.0059,                0.94293,                0.64145,                0.34718,                0.33425,                0.20075,                 1.3231,                 1.0963,                0.93463,             0.00092651,             0.00092651,             0.00092651
                      3,                 1.3641,                0.92828,                0.94251,                0.69642,                0.47992,                0.51262,                0.29881,                 1.2937,                0.89939,                0.93292,              0.0013653,              0.0013653,              0.0013653
                      4,                 1.3132,                0.83828,                0.93628,                0.70173,                0.53883,                0.58603,                0.34386,                 1.2821,                0.80502,                0.92872,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.3189,                0.80591,                0.93746,                0.77196,                0.60424,                0.65263,                0.38361,                 1.2263,                0.75409,                0.92125,              0.0013158,              0.0013158,              0.0013158
                      6,                  1.291,                0.76953,                0.93524,                 0.7506,                0.60953,                0.66347,                0.39833,                 1.2288,                0.73564,                0.92227,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.2883,                0.73848,                0.92189,                0.79917,                0.64171,                0.70314,                 0.4175,                 1.1954,                0.68368,                0.91247,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.2682,                0.72822,                0.92383,                0.80084,                 0.6234,                0.67445,                0.39869,                 1.2259,                0.69677,                0.91665,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.2638,                0.69837,                0.92448,                0.84703,                0.61743,                0.69283,                0.40342,                 1.2539,                 0.6698,                0.91973,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.2529,                0.67846,                0.91811,                0.78625,                 0.6402,                 0.6923,                0.40876,                 1.2323,                0.65305,                0.91923,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.2763,                0.68063,                0.91889,                0.76214,                0.68075,                0.72173,                0.44565,                  1.147,                0.63612,                 0.9008,              0.0011461,              0.0011461,              0.0011461
                     12,                 1.2232,                0.66416,                0.91365,                0.83098,                0.63856,                0.71778,                0.42316,                 1.2329,                0.65777,                0.91264,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.2198,                0.64918,                0.91161,                0.81397,                0.67805,                0.71801,                0.42036,                 1.2021,                 0.6364,                0.91669,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.2234,                0.66627,                0.91121,                0.77831,                 0.6812,                0.70956,                0.43305,                 1.1509,                0.61795,                0.90219,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.2076,                0.64236,                0.91106,                0.82131,                0.67747,                0.73652,                0.45305,                 1.1262,                0.58643,                0.89558,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.1965,                0.62102,                0.90688,                0.80986,                0.70095,                0.73225,                0.44992,                 1.1517,                0.58773,                0.90312,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.1905,                0.62274,                 0.9033,                0.82477,                0.69471,                0.74529,                0.46184,                  1.133,                0.56888,                0.89647,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.2104,                0.62009,                 0.9066,                0.87351,                0.67288,                0.73915,                0.44824,                 1.1827,                0.58654,                0.90246,               0.000948,               0.000948,               0.000948
                     19,                 1.1841,                0.61282,                0.90625,                0.80723,                0.69851,                0.73835,                0.45121,                 1.1609,                0.59527,                0.90067,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.2005,                0.60799,                0.89841,                0.83113,                 0.7007,                0.75009,                0.46266,                 1.1275,                0.56813,                0.89606,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.1708,                0.58918,                0.90214,                0.79695,                0.72128,                0.73789,                  0.457,                 1.1397,                0.56845,                0.90411,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.1625,                0.59635,                0.90099,                0.80506,                 0.6886,                0.73397,                0.45361,                 1.1151,                0.56904,                0.89275,             0.00083482,             0.00083482,             0.00083482
                     23,                   1.16,                0.58078,                0.89597,                0.82861,                0.72371,                0.75353,                0.47087,                 1.1081,                0.54537,                0.89069,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.1709,                0.58615,                0.89683,                0.84208,                 0.6906,                0.74757,                0.46898,                 1.1109,                0.54807,                 0.8933,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.1499,                0.57495,                0.89538,                0.83906,                0.72482,                 0.7643,                0.47714,                 1.1118,                0.53845,                 0.8896,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.1511,                0.57173,                0.89376,                0.82763,                0.71313,                0.75459,                0.46815,                 1.1162,                0.53786,                0.89225,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.1474,                0.56316,                0.89636,                0.82218,                0.72465,                0.77104,                0.48784,                 1.0921,                0.53383,                0.88955,             0.00069335,             0.00069335,             0.00069335
                     28,                 1.1496,                0.55977,                0.89209,                0.81178,                0.73289,                0.76814,                 0.4811,                 1.1251,                0.53706,                0.89105,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.1367,                0.55313,                0.89575,                0.84409,                0.72233,                0.77179,                0.49269,                 1.1031,                0.52148,                0.88928,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.1388,                0.55334,                0.89124,                0.84374,                0.71863,                0.76763,                0.47916,                 1.1227,                0.52638,                0.89103,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.1216,                0.54966,                0.88644,                0.83616,                0.72217,                0.76195,                 0.4909,                  1.084,                0.52651,                0.88511,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.1375,                0.56256,                0.89127,                0.81536,                0.73236,                0.76825,                0.48414,                  1.102,                0.52279,                0.88795,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.1172,                0.54454,                0.88848,                0.87207,                0.74624,                0.78957,                0.49185,                 1.0992,                0.52104,                 0.8867,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.1226,                0.54477,                0.88595,                0.84784,                0.74075,                0.78524,                0.48743,                 1.0923,                0.52495,                0.88379,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.1095,                0.53897,                0.88632,                0.84724,                0.74533,                0.77966,                 0.4955,                 1.0769,                 0.5061,                0.88158,               0.000467,               0.000467,               0.000467
                     36,                 1.1118,                0.53193,                0.88501,                0.85776,                0.72377,                 0.7793,                0.49412,                 1.0893,                0.51423,                0.88621,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.0982,                  0.523,                0.88295,                0.84511,                0.73678,                0.77787,                0.49251,                 1.1069,                0.51111,                0.88908,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.1061,                0.52389,                0.87856,                0.86354,                  0.734,                0.78582,                0.49813,                 1.0984,                0.50572,                0.88652,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.1078,                0.53019,                0.88415,                0.84951,                0.74112,                 0.7856,                0.50341,                 1.0838,                0.50448,                0.88576,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0839,                0.51561,                0.87832,                0.87551,                0.73837,                0.78665,                0.49447,                 1.0977,                0.50468,                0.88567,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.0713,                0.50752,                0.87902,                0.81931,                0.73013,                 0.7713,                   0.49,                 1.0889,                0.50525,                0.88692,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0663,                0.49768,                0.87834,                0.86189,                0.72376,                0.77079,                0.48512,                 1.1312,                0.51839,                0.89313,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.0729,                0.49352,                0.88221,                0.85945,                0.72558,                0.77681,                0.49627,                 1.0867,                0.50117,                 0.8878,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.0452,                0.48163,                0.87755,                0.87499,                0.73714,                0.78233,                0.50076,                 1.0751,                0.49809,                0.88351,             0.00021235,             0.00021235,             0.00021235
